Date,GoldPriceUSD,GEPUCURRENT,WUIGLOBALSMPAVG,GoldReturn
31-07-2007,666.9000244140625,49.22473183638026,14483.21,0.028595178483080155
31-08-2007,673,77.52837722785038,14483.21,0.009105183
30-09-2007,742.7999877929688,99.86441938224803,14483.21,0.098681483
31-10-2007,792,79.87939807202132,14525.91,0.064134579
30-11-2007,782.2000122070312,84.60064039774977,14525.91,-0.012450914
31-12-2007,834.9000244140625,95.50581738732008,14525.91,0.065201509
31-01-2008,922.7000122070312,135.0734037378966,12745.87,0.099992181
29-02-2008,972.0999755859375,102.15315805495769,12745.87,0.052154486898062534
31-03-2008,916.2000122070312,118.18186795688332,12745.87,-0.05922396
30-04-2008,862.7999877929688,92.00806584675651,13256.69,-0.060051794
31-05-2008,887.2999877929688,78.12047717600417,13256.69,0.028000229716947624
30-06-2008,926.2000122070312,88.59038354045022,13256.69,0.042907077
